5.000000 0.000821
4.900000 -0.001416
4.800000 -0.004449
4.700000 0.002754
4.600000 0.000624
4.500000 -0.002351
4.400000 0.000562
4.300000 0.004158
4.200000 -0.000960
4.100000 0.003935
4.000000 -0.003459
3.900000 -0.003705
3.800000 -0.001062
3.700000 0.000667
3.600000 -0.004252
3.500000 0.000668
3.400000 0.003378
3.300000 0.002233
3.200000 -0.003914
3.100000 -0.001102
3.000000 0.006967
2.900000 0.010035
2.800000 0.015991
2.700000 -0.007391
2.600000 -0.023282
2.500000 0.008870
2.400000 -0.076045
2.300000 -0.523348
2.200000 -0.685715
2.100000 -0.809487
2.000000 -0.864552
1.900000 -0.914368
1.800000 -0.942791
1.700000 -0.956991
1.600000 -0.972734
1.500000 -0.980828
1.400000 -0.988558
1.300000 -0.992773
1.200000 -0.995662
1.100000 -0.997736
1.000000 -0.998755
0.900000 -0.999554
0.800000 -0.999796
0.700000 -0.999937
0.600000 -0.999982
0.500000 -0.999998
0.400000 -1.000000
0.300000 -1.000000
0.200000 -1.000000
0.100000 -1.000000
